timedelta_ms,Xacc,Yacc,Zacc
13084,6.588843,-3.907337,2.767697
13104,6.665458,-3.744531,2.825158
13124,7.249643,-3.792415,2.585738
13144,7.182605,-4.932055,3.945644
13164,7.958326,-4.979939,6.703765
13184,7.287950,-5.870583,7.220912
13204,7.680599,-6.224925,4.807557
13224,8.130709,-6.607996,5.018247
13244,6.828263,-7.182605,5.985504
13264,6.301539,-6.991069,6.569689
13284,12.277467,-13.445837,6.579266
13304,11.070788,-6.215348,4.405331
13324,12.363658,-0.354342,2.470816
13344,10.975020,2.614468,0.804452
13364,6.646304,-1.053449,-0.517148
13384,5.094861,-4.845864,0.076614
13404,7.862558,-4.865018,-0.450110
13424,9.921572,-4.165911,-0.287304
13444,9.567230,-2.308010,2.557007
13464,15.524004,-5.343858,0.871489
13484,5.056554,-6.933608,1.465251
13504,5.535394,-6.560112,1.053449
13524,6.684611,-4.912902,1.359907
13544,7.489063,-3.390190,1.695095
13575,6.933608,-4.395754,1.350330
13595,7.038953,-5.075707,0.660800
13615,7.642292,-4.826711,0.775721
13635,8.561666,-4.175488,1.321599
13655,8.006210,-4.089296,1.685518
13675,7.048530,-4.865018,1.541866
13695,7.173028,-4.740520,1.034295
13715,7.987057,-4.319140,0.268151
13735,8.858546,-3.821146,-0.057461
13755,9.452309,-3.878607,-0.057461
13775,9.346964,-4.644751,0.114922
13795,9.088389,-5.276821,0.440533
13815,9.030929,-6.330269,0.593762
13835,8.398860,-6.138733,0.804452
13855,7.603985,-6.148310,1.398214
13875,7.690176,-5.774815,1.647211
13895,7.824251,-5.353435,1.714248
13915,7.747637,-5.305551,1.532289
13935,7.134721,-6.052542,0.450110
13955,8.312668,-7.431602,1.944092
13975,9.653421,-5.774815,3.150769
13995,9.222465,-4.443638,2.691083
14015,7.987057,-3.658340,2.384625
14035,7.153875,-2.806004,1.982399
14055,8.848969,-3.227384,1.130063
14075,10.975020,-3.150769,0.632069
14095,11.338940,-3.016694,0.814029
14115,10.735600,-4.070143,1.120486
14135,10.553641,-4.060566,1.982399
14155,10.275913,-3.993528,2.384625
14175,9.356541,-3.572149,2.624045
14195,7.690176,-3.380613,2.825158
14215,6.339846,-3.725378,2.164358
14235,5.899313,-3.581726,2.767697
14255,6.454768,-3.390190,2.710236
14275,6.378153,-4.031836,2.873042
14295,9.078813,-3.524265,5.841852
14315,8.044518,-3.361459,2.403779
14335,6.866570,-2.700660,2.011129
14355,6.368577,-2.547431,1.522712
14375,5.966351,-3.102885,1.474828
14395,6.244078,-3.974375,1.848324
14415,7.307104,-3.849876,2.030283
14435,7.556100,-5.420473,4.185065
14455,8.092402,-5.334281,8.705317
14475,6.646304,-6.062119,8.829816
14495,7.029376,-6.895301,6.244078
14515,8.197746,-7.096414,5.669470
14535,8.169016,-6.933608,5.851429
14555,7.603985,-6.569689,8.092402
14575,5.573701,-6.694188,6.751649
14595,7.105990,-8.034941,2.375048
14615,10.122684,-6.445191,1.972822
14635,12.526464,-0.430956,0.392649
14655,15.399506,2.317587,3.648763
14675,16.979679,0.976834,3.811569
14695,3.687071,-9.797073,1.762132
14715,1.867477,-6.445191,-2.106898
14735,-2.193089,-5.315128,3.361459
14755,5.947197,-1.934515,0.890643
14775,9.605537,-0.766145,2.777274
14795,3.974375,-4.922479,2.882619
14815,9.835381,-5.861006,3.342306
14835,4.070143,-7.785944,0.383072
14855,6.330269,-5.439626,1.407791
14875,8.169016,-3.476381,2.279280
14895,8.274361,-3.189077,2.068590
14915,8.101978,-4.108450,0.373495
14935,8.312668,-4.098873,-0.153229
14955,8.303091,-4.031836,0.354342
14975,7.881712,-4.175488,1.628057
14995,7.805098,-4.989516,1.675941
15015,7.364564,-4.807557,1.312023
15035,7.709330,-4.127604,1.197101
15057,8.149862,-4.165911,0.660800
15077,8.188169,-4.022259,-0.114922
15097,8.178593,-4.405331,-0.603339
15117,8.312668,-4.673482,-0.191536
15137,8.465898,-5.372589,0.201113
15157,8.360553,-6.081272,0.881066
15177,8.868123,-5.506664,1.963245
